Year,Paper Generated (thousand tons),Paper Recycled and Composting (thousand tons),Glass Generated (thousand tons),Glass Recycled and Composting (thousand tons),Metals Generated (thousand tons),Metals Recycled and Composting (thousand tons),Plastics Generated (thousand tons),Plastics Recycled and Composting (thousand tons),Food Generated (thousand tons),Yard trimmings Generated (thousand tons),"Yard trimmings, Food waste Recycled and Composting (thousand tons)",All other Generated (thousand tons),All others* Recycled and Composting (thousand tons),Total Generated,Total Recycled and Composting (thousand tons)
1960,29985,5078,6721,100,10818,50,391,0,12200,20000,Neg.,8002,382,88117,5610
1961,30943,5100,7050,100,11094,54,583,0,12500,20500,Neg.,8382,356,91052,5610
1962,32538,4920,7400,100,11069,58,772,0,12600,20800,Neg.,8348,362,93527,5440
1963,33631,5295,7713,100,10861,62,979,0,12700,21200,Neg.,8464,363,95548,5820
1964,35767,5245,8247,100,11861,347,1227,0,12700,21400,Neg.,9243,628,100445,6320
1965,38145,5336,8725,100,12158,401,1484,0,12700,21600,Neg.,9559,653,104371,6490
1966,41662,5405,9210,100,12686,360,1729,0,12700,21800,Neg.,9877,605,109664,6470
1967,41384,4972,10308,100,12884,384,1878,0,12700,22000,Neg.,10201,604,111355,6060
1968,42870,5246,10166,100,13118,399,2149,0,12700,22400,Neg.,10498,625,113901,6370
1969,45417,6632,11757,100,13850,424,2423,0,12700,22900,Neg.,10766,624,119813,7780
1970,44312,6775,12735,157,13833,480,2904,0,12800,23200,Neg.,11279,608,121063,8020
1971,45172,6974,12612,221,13790,396,3102,0,12800,23400,Neg.,11892,679,122768,8270
1972,48845,7338,13438,273,14104,450,3657,0,13100,24000,Neg.,12295,689,129439,8750
1973,51659,8471,13668,305,14308,486,4000,0,13200,24800,Neg.,13036,688,134671,9950
1974,51063,9134,13419,324,14402,579,4361,0,13300,25000,Neg.,13539,723,135084,10760
1975,43188,7555,13573,368,14252,735,4335,0,13400,25200,Neg.,13850,602,127798,9260
1976,49791,9076,14038,478,14548,666,4944,0,13400,25400,Neg.,14084,770,136205,10990
1977,51559,9838,14387,500,14304,786,5597,0,13300,25600,Neg.,14935,856,139682,11980
1978,54186,9988,14952,500,14181,858,6298,0,13300,26200,Neg.,16092,894,145209,12240
1979,56239,10911,15355,600,14278,884,7449,5,13200,27000,Neg.,17542,880,151063,13280
