State Name,State Abbreviation ,Year,Food Insecurity Rate (aggregate of counties), Estimated Number Food Insecure Individuals ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Dollars , Cost Per Meal ,Child Food Insecurity Rate (aggregate of counties), Number Food Insecure Children (aggregate of counties) ,% of children in FI HH with incomes at or below 185% FPL,% of children in FI HH with incomes above 185% FPL,Population
Alaska,AK,2009,0.135,90300,1.3,SNAP,1.85,other nutrition pgm,0.4,0.17,0.42,n/a,n/a,0.21,38090.00,0.55,0.45,698895
Alaska,AK,2010,0.146,104510,1.3,SNAP,1.85,Other Nutrition Program,0.39,0.21,0.4,48031340.00,2.67,0.2,36670.00,0.54,0.46,713910
Alaska,AK,2011,0.147,106200,1.3,SNAP,1.85,Other Nutrition Program,0.42,0.23,0.36,50209200.00,2.90,0.2,37640.00,0.65,0.35,722128
Alaska,AK,2012,0.14,102180,1.3,SNAP,1.85,Other Nutrition Program,0.45,0.18,0.37,55653000.00,3.11,0.2,36650.00,0.61,0.39,730443
Alaska,AK,2013,0.142,104750,1.3,SNAP,1.85,Other Nutrition Program,0.41,0.19,0.4,59107000.00,3.19,0.2,37590.00,0.6,0.4,737068
Alaska,AK,2014,0.144,105770,1.3,SNAP,1.85,Other Nutrition Program,0.45,0.15,0.4,62181000.00,3.33,0.2,38080.00,0.58,0.42,736283
Alaska,AK,2015,0.139,102670,1.3,SNAP,1.85,Other Nutrition Program,0.44,0.18,0.39,62743000.00,3.41,0.2,36560.00,0.61,0.39,737498
Alaska,AK,2016,0.134,99650,1.3,SNAP,1.85,Other Nutrition Program,0.43,0.15,0.42,58525000.00,3.44,0.19,34800.00,0.58,0.42,741456
Alaska,AK,2017,0.136,100310,1.3,SNAP,1.85,Other Nutrition Program,0.45,0.15,0.4,57721000.00,3.37,0.19,34690.00,0.59,0.41,739700
Alaska,AK,2018,0.129,95190,1.3,SNAP,1.85,Other Nutrition Program,0.47,0.15,0.38,57930000.00,3.60,0.18,33200.00,0.65,0.35,735139
Alabama,AL,2019,0.161,788250,1.3,SNAP,1.85,Other Nutrition Program,0.5,0.15,0.34,405611000.00,3.01,0.21,226310.00,0.78,0.22,4903185
Alabama,AL,2009,0.178,826770,1.3,SNAP,1.85,other nutrition pgm,0.46,0.23,0.32,354008530.00,2.56,0.27,299390.00,0.67,0.33,4757938
Alabama,AL,2010,0.192,919670,1.3,SNAP,1.85,Other Nutrition Program,0.46,0.22,0.33,392590090.00,2.48,0.27,298960.00,0.7,0.3,4785437
Alabama,AL,2011,0.195,936410,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.21,0.28,403023850.00,2.64,0.26,292740.00,0.75,0.25,4799069
Alabama,AL,2012,0.186,895430,1.3,SNAP,1.85,Other Nutrition Program,0.53,0.19,0.28,430525000.00,2.75,0.26,289960.00,0.74,0.26,4815588
Alabama,AL,2013,0.188,908770,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.18,0.28,444265000.00,2.76,0.26,294060.00,0.76,0.24,4830081
