Year,Paper Generated (thousand tons),Paper Recycled/Composted (thousand tons),Glass Generated (thousand tons),Glass Recycled/Composted (thousand tons),Metals Generated (thousand tons),Metals Recycled/Composted (thousand tons),Plastics Generated (thousand tons),Plastics Recycled/Composted (thousand tons),Food Generated (thousand tons),Yard trimmings Generated (thousand tons),"Yard trimmings, Food waste Recycled/Composted (thousand tons)",All other* Generated (thousand tons),All others* Recycled/Composted (thousand tons),Total Generated (thousand tons),Total Recycled/Composted (thousand tons),,,,,,,,,,,
1960,"29,985","5,078","6,721",100,"10,818",50,391,0,"12,200","20,000",Neg.,"8,002","47,915","88,117","5,610",,,,,,,,,,,
1961,"30,943","5,100","7,050",100,"11,094",54,583,0,"12,500","20,500",Neg.,"8,382","49,670","91,052","5,610",,,,,,,,,,,
1962,"32,538","4,920","7,400",100,"11,069",58,772,0,"12,600","20,800",Neg.,"8,348","51,779","93,527","5,440",,,,,,,,,,,
1963,"33,631","5,295","7,713",100,"10,861",62,979,0,"12,700","21,200",Neg.,"8,464","53,184","95,548","5,820",,,,,,,,,,,
1964,"35,767","5,245","8,247",100,"11,861",347,"1,227",0,"12,700","21,400",Neg.,"9,243","57,102","100,445","6,320",,,,,,,,,,,
1965,"38,145","5,336","8,725",100,"12,158",401,"1,484",0,"12,700","21,600",Neg.,"9,559","60,512","104,371","6,490",,,,,,,,,,,
1966,"41,662","5,405","9,210",100,"12,686",360,"1,729",0,"12,700","21,800",Neg.,"9,877","65,287","109,664","6,470",,,,,,,,,,,
1967,"41,384","4,972","10,308",100,"12,884",384,"1,878",0,"12,700","22,000",Neg.,"10,201","66,454","111,355","6,060",,,,,,,,,,,
1968,"42,870","5,246","10,166",100,"13,118",399,"2,149",0,"12,700","22,400",Neg.,"10,498","68,303","113,901","6,370",,,,,,,,,,,
1969,"45,417","6,632","11,757",100,"13,850",424,"2,423",0,"12,700","22,900",Neg.,"10,766","73,447","119,813","7,780",,,,,,,,,,,
1970,"44,312","6,775","12,735",157,"13,833",480,"2,904",0,"12,800","23,200",Neg.,"11,279","73,784","121,063","8,020",,,,,,,,,,,
1971,"45,172","6,974","12,612",221,"13,790",396,"3,102",0,"12,800","23,400",Neg.,"11,892","74,676","122,768","8,270",,,,,,,,,,,
1972,"48,845","7,338","13,438",273,"14,104",450,"3,657",0,"13,100","24,000",Neg.,"12,295","80,044","129,439","8,750",,,,,,,,,,,
1973,"51,659","8,471","13,668",305,"14,308",486,"4,000",0,"13,200","24,800",Neg.,"13,036","83,635","134,671","9,950",,,,,,,,,,,
1974,"51,063","9,134","13,419",324,"14,402",579,"4,361",0,"13,300","25,000",Neg.,"13,539","83,245","135,084","10,760",,,,,,,,,,,
1975,"43,188","7,555","13,573",368,"14,252",735,"4,335",0,"13,400","25,200",Neg.,"13,850","75,348","127,798","9,260",,,,,,,,,,,
1976,"49,791","9,076","14,038",478,"14,548",666,"4,944",0,"13,400","25,400",Neg.,"14,084","83,321","136,205","10,990",,,,,,,,,,,
1977,"51,559","9,838","14,387",500,"14,304",786,"5,597",0,"13,300","25,600",Neg.,"14,935","85,847","139,682","11,980",,,,,,,,,,,
1978,"54,186","9,988","14,952",500,"14,181",858,"6,298",0,"13,300","26,200",Neg.,"16,092","89,617","145,209","12,240",,,,,,,,,,,
1979,"56,239","10,911","15,355",600,"14,278",884,"7,449",5,"13,200","27,000",Neg.,"17,542","93,321","151,063","13,280",,,,,,,,,,,
1980,"55,157","11,738","15,131",750,"15,511","1,229","6,826",16,"13,000","27,500",Neg.,"18,512","92,625","151,637","14,520",,,,,,,,,,,
1981,"56,325","11,432","15,148",750,"15,598","1,387","7,422",26,"13,200","27,800",Neg.,"19,259","94,493","154,752","14,370",,,,,,,,,,,
1982,"53,535","11,092","14,396",750,"13,930","1,357","7,891",35,"13,200","28,400",Neg.,"18,995","89,752","150,347","13,940",,,,,,,,,,,
1983,"58,934","12,066","14,300",850,"14,692","1,311","9,081",51,"13,200","29,000",Neg.,"19,799","97,007","159,006","14,940",,,,,,,,,,,
1984,"63,879","13,351","13,872","1,000","15,203","1,435","10,003",87,"13,200","29,500",Neg.,"20,886","102,957","166,543","16,610",,,,,,,,,,,
1985,"62,814","13,316","13,166","1,050","14,614","1,501","11,128",99,"13,200","30,000",Neg.,"21,348","101,722","166,270","16,710",,,,,,,,,,,
