State,State Abbrevation,Year,Population
Alaska,AK,1950,135000
Alaska,AK,1951,158000
Alaska,AK,1952,189000
Alaska,AK,1953,205000
Alaska,AK,1954,215000
Alaska,AK,1955,222000
Alaska,AK,1956,224000
Alaska,AK,1957,231000
Alaska,AK,1958,224000
Alaska,AK,1959,224000
Alaska,AK,1960,229000
Alaska,AK,1961,238000
Alaska,AK,1962,246000
Alaska,AK,1963,256000
Alaska,AK,1964,263000
Alaska,AK,1965,271000
Alaska,AK,1966,271000
Alaska,AK,1967,278000
Alaska,AK,1968,285000
Alaska,AK,1969,296000
Alaska,AK,1970,302583
Alaska,AK,1971,315510
Alaska,AK,1972,324464
Alaska,AK,1973,330543
Alaska,AK,1974,341063
Alaska,AK,1975,376170
Alaska,AK,1976,400969
Alaska,AK,1977,403436
Alaska,AK,1978,404766
Alaska,AK,1979,402753
Alaska,AK,1980,405315
Alaska,AK,1981,418491
Alaska,AK,1982,449606
Alaska,AK,1983,488417
Alaska,AK,1984,513702
Alaska,AK,1985,532495
Alaska,AK,1986,544268
Alaska,AK,1987,539309
Alaska,AK,1988,541983
Alaska,AK,1989,547159
Alaska,AK,1990,553120
Alaska,AK,1991,569273
Alaska,AK,1992,587073
Alaska,AK,1993,596993
Alaska,AK,1994,600624
Alaska,AK,1995,601345
Alaska,AK,1996,604918
Alaska,AK,1997,608846
Alaska,AK,1998,615205
Alaska,AK,1999,619500
Alaska,AK,2000,627963
Alaska,AK,2001,633714
Alaska,AK,2002,642337
Alaska,AK,2003,648414
Alaska,AK,2004,659286
Alaska,AK,2005,666946
Alaska,AK,2006,675302
Alaska,AK,2007,680300
Alaska,AK,2008,687455
Alaska,AK,2009,698895
Alaska,AK,2010,713910
Alaska,AK,2011,722128
Alaska,AK,2012,730443
Alaska,AK,2013,737068
Alaska,AK,2014,736283
Alaska,AK,2015,737498
Alaska,AK,2016,741456
Alaska,AK,2017,739700
Alaska,AK,2018,735139
Alaska,AK,2019,731545
Alabama,AL,1900,1830000
Alabama,AL,1901,1907000
Alabama,AL,1902,1935000
Alabama,AL,1903,1957000
Alabama,AL,1904,1978000
Alabama,AL,1905,2012000
Alabama,AL,1906,2045000
Alabama,AL,1907,2058000
Alabama,AL,1908,2070000
Alabama,AL,1909,2108000
Alabama,AL,1910,2150000
Alabama,AL,1911,2185000
Alabama,AL,1912,2217000
Alabama,AL,1913,2279000
Alabama,AL,1914,2336000
Alabama,AL,1915,2345000
Alabama,AL,1916,2359000
Alabama,AL,1917,2361000
Alabama,AL,1918,2343000
Alabama,AL,1919,2337000
Alabama,AL,1920,2359000
Alabama,AL,1921,2402000
Alabama,AL,1922,2434000
Alabama,AL,1923,2464000
Alabama,AL,1924,2501000
Alabama,AL,1925,2534000
Alabama,AL,1926,2567000
Alabama,AL,1927,2609000
Alabama,AL,1928,2640000
Alabama,AL,1929,2644000
Alabama,AL,1930,2647000
Alabama,AL,1931,2649000
Alabama,AL,1932,2653000
Alabama,AL,1933,2661000
Alabama,AL,1934,2685000
Alabama,AL,1935,2719000
Alabama,AL,1936,2743000
Alabama,AL,1937,2762000
Alabama,AL,1938,2787000
Alabama,AL,1939,2814000
Alabama,AL,1940,2845000
Alabama,AL,1941,2902000
Alabama,AL,1942,2941000
Alabama,AL,1943,2902000
Alabama,AL,1944,2802000
Alabama,AL,1945,2775000
Alabama,AL,1946,2911000
Alabama,AL,1947,2942000
Alabama,AL,1948,2969000
Alabama,AL,1949,3000000
Alabama,AL,1950,3058000
Alabama,AL,1951,3059000
Alabama,AL,1952,3068000
Alabama,AL,1953,3053000
Alabama,AL,1954,3014000
Alabama,AL,1955,3050000
Alabama,AL,1956,3071000
Alabama,AL,1957,3109000
Alabama,AL,1958,3163000
Alabama,AL,1959,3204000
Alabama,AL,1960,3274000
Alabama,AL,1961,3316000
Alabama,AL,1962,3323000
Alabama,AL,1963,3358000
Alabama,AL,1964,3395000
Alabama,AL,1965,3443000
Alabama,AL,1966,3464000
Alabama,AL,1967,3458000
Alabama,AL,1968,3446000
Alabama,AL,1969,3440000
Alabama,AL,1970,3444354
Alabama,AL,1971,3497076
Alabama,AL,1972,3539400
Alabama,AL,1973,3579780
Alabama,AL,1974,3626499
Alabama,AL,1975,3678814
Alabama,AL,1976,3735139
Alabama,AL,1977,3780403
Alabama,AL,1978,3831836
Alabama,AL,1979,3866248
Alabama,AL,1980,3900368
Alabama,AL,1981,3918531
Alabama,AL,1982,3925266
Alabama,AL,1983,3934102
Alabama,AL,1984,3951820
Alabama,AL,1985,3972523
Alabama,AL,1986,3991569
Alabama,AL,1987,4015264
Alabama,AL,1988,4023844
Alabama,AL,1989,4030222
Alabama,AL,1990,4048508
Alabama,AL,1991,4091025
Alabama,AL,1992,4139269
Alabama,AL,1993,4193114
Alabama,AL,1994,4232965
Alabama,AL,1995,4262731
Alabama,AL,1996,4290403
Alabama,AL,1997,4320281
Alabama,AL,1998,4351037
Alabama,AL,1999,4369862
Alabama,AL,2000,4452173
Alabama,AL,2001,4467634
Alabama,AL,2002,4480089
Alabama,AL,2003,4503491
Alabama,AL,2004,4530729
Alabama,AL,2005,4569805
Alabama,AL,2006,4628981
Alabama,AL,2007,4672840
Alabama,AL,2008,4718206
Alabama,AL,2009,4757938
Alabama,AL,2010,4785437
Alabama,AL,2011,4799069
Alabama,AL,2012,4815588
Alabama,AL,2013,4830081
Alabama,AL,2014,4841799
Alabama,AL,2015,4852347
Alabama,AL,2016,4863525
Alabama,AL,2017,4874486
Alabama,AL,2018,4887681
Alabama,AL,2019,4903185
Arkansas,AR,1900,1314000
Arkansas,AR,1901,1341000
Arkansas,AR,1902,1360000
Arkansas,AR,1903,1384000
Arkansas,AR,1904,1419000
Arkansas,AR,1905,1447000
Arkansas,AR,1906,1465000
Arkansas,AR,1907,1484000
Arkansas,AR,1908,1513000
Arkansas,AR,1909,1545000
Arkansas,AR,1910,1583000
Arkansas,AR,1911,1610000
Arkansas,AR,1912,1636000
Arkansas,AR,1913,1664000
Arkansas,AR,1914,1688000
Arkansas,AR,1915,1702000
Arkansas,AR,1916,1719000
Arkansas,AR,1917,1737000
Arkansas,AR,1918,1749000
Arkansas,AR,1919,1742000
Arkansas,AR,1920,1756000
Arkansas,AR,1921,1769000
Arkansas,AR,1922,1772000
Arkansas,AR,1923,1784000
Arkansas,AR,1924,1800000
Arkansas,AR,1925,1812000
Arkansas,AR,1926,1826000
Arkansas,AR,1927,1840000
Arkansas,AR,1928,1847000
Arkansas,AR,1929,1852000
Arkansas,AR,1930,1859000
Arkansas,AR,1931,1848000
Arkansas,AR,1932,1836000
Arkansas,AR,1933,1854000
Arkansas,AR,1934,1878000
Arkansas,AR,1935,1890000
Arkansas,AR,1936,1892000
Arkansas,AR,1937,1903000
Arkansas,AR,1938,1928000
Arkansas,AR,1939,1948000
Arkansas,AR,1940,1955000
Arkansas,AR,1941,1969000
Arkansas,AR,1942,1977000
Arkansas,AR,1943,1843000
Arkansas,AR,1944,1768000
Arkansas,AR,1945,1762000
Arkansas,AR,1946,1797000
Arkansas,AR,1947,1836000
Arkansas,AR,1948,1825000
Arkansas,AR,1949,1844000
Arkansas,AR,1950,1908000
Arkansas,AR,1951,1901000
Arkansas,AR,1952,1838000
Arkansas,AR,1953,1780000
Arkansas,AR,1954,1734000
Arkansas,AR,1955,1725000
Arkansas,AR,1956,1704000
Arkansas,AR,1957,1733000
Arkansas,AR,1958,1726000
Arkansas,AR,1959,1756000
Arkansas,AR,1960,1789000
Arkansas,AR,1961,1806000
Arkansas,AR,1962,1853000
Arkansas,AR,1963,1875000
Arkansas,AR,1964,1897000
Arkansas,AR,1965,1894000
Arkansas,AR,1966,1899000
Arkansas,AR,1967,1901000
Arkansas,AR,1968,1902000
Arkansas,AR,1969,1913000
Arkansas,AR,1970,1923322
Arkansas,AR,1971,1972312
Arkansas,AR,1972,2018638
Arkansas,AR,1973,2059256
Arkansas,AR,1974,2101403
Arkansas,AR,1975,2159526
Arkansas,AR,1976,2170161
Arkansas,AR,1977,2209010
Arkansas,AR,1978,2243127
Arkansas,AR,1979,2271333
Arkansas,AR,1980,2288738
Arkansas,AR,1981,2293201
Arkansas,AR,1982,2294257
Arkansas,AR,1983,2305761
Arkansas,AR,1984,2319768
